timestamp	max	min	average
307509	19	17	18
307709	19	17	18
307910	19	17	18
308110	19	17	18
308310	19	17	18
308511	19	17	18
308711	19	17	18
308911	19	17	18
309112	19	17	18
309312	19	17	18
309512	19	17	18
309713	19	17	18
309913	19	17	18
310113	19	17	18
310314	19	17	18
310514	19	17	18
310714	19	17	18
310914	19	17	18
311115	19	17	18
311315	19	17	18
311515	19	17	18
311716	19	17	18
311916	19	17	18
312116	19	17	18
312317	19	17	18
312517	19	17	18
312717	19	17	18
312918	19	17	18
313118	19	17	18
313318	19	17	18
313519	19	17	18
313719	19	17	18
313919	19	17	18
314120	19	17	18
314320	19	17	18
314520	19	17	18
314721	19	17	18
314921	19	17	18
315121	19	17	18
315322	19	17	18
315522	19	17	18
315722	19	17	18
315922	19	17	18
316123	19	17	18
316323	19	17	18
316523	19	17	18
316724	19	17	18
316924	19	17	18
317124	19	17	18
317325	19	17	18
317525	19	17	18
317725	19	17	18
317926	19	17	18
318126	19	17	18
318326	19	17	18
318527	19	17	18
318727	19	17	18
318927	19	17	18
319128	19	17	18
319328	19	17	18
319529	19	17	18
319729	19	17	18
319929	19	17	18
320130	19	17	18
320330	19	17	18
320530	19	17	18
320730	19	17	18
320931	19	17	18
321131	19	17	18
321331	19	17	18
321532	19	17	18
321732	19	17	18
321932	19	17	18
322133	19	17	18
322333	19	17	18
322533	19	17	18
322737	19	17	18
322934	19	17	18
323135	19	17	18
323335	19	17	18
323535	19	17	18
323736	19	17	18
323936	19	17	18
324136	19	17	18
324337	19	17	18
324537	19	17	18
324737	19	17	18
324938	19	17	18
325138	19	17	18
325338	19	17	18
325539	19	17	18
325739	19	17	18
325939	19	17	18
326140	19	17	18
326340	19	17	18
326540	19	17	18
326740	19	17	18
326941	19	17	18
327141	19	17	18
327341	19	17	18
327542	19	17	18
327742	19	17	18
327942	19	17	18
328143	19	17	18
328343	19	17	18
328543	19	17	18
328744	19	17	18
328944	19	17	18
329144	19	17	18
329345	19	17	18
329545	19	17	18
329745	19	17	18
329946	19	17	18
330146	19	17	18
330349	19	17	18
330547	19	17	18
330747	19	17	18
330947	19	17	18
331148	19	17	18
331348	19	17	18
331548	19	17	18
331748	19	17	18
331949	19	17	18
332149	19	17	18
332349	19	17	18
332550	19	17	18
332750	19	17	18
332950	19	17	18
333151	19	17	18
333351	19	17	18
333551	19	17	18
333752	19	17	18
333952	19	17	18
334152	19	17	18
334353	19	17	18
334553	19	17	18
334753	19	17	18
334953	19	17	18
335154	19	17	18
335354	19	17	18
335555	19	17	18
335755	19	17	18
335955	19	17	18
336156	19	17	18
336356	19	17	18
336556	19	17	18
336757	19	17	18
336957	19	17	18
337157	19	17	18
337357	19	17	18
337558	19	17	18
337758	19	17	18
337958	19	17	18
338159	19	17	18
338359	19	17	18
338560	19	17	18
338760	19	17	18
338960	19	17	18
339161	19	17	18
339361	19	17	18
339561	19	17	18
339762	19	17	18
339962	19	17	18
340162	19	17	18
340363	19	17	18
340563	19	17	18
340763	19	17	18
340964	19	17	18
341164	19	17	18
341364	19	17	18
341565	19	17	18
341765	19	17	18
341965	19	17	18
342166	19	17	18
342366	19	17	18
342566	19	17	18
342767	19	17	18
342967	19	17	18
343168	19	17	18
343368	19	17	18
343568	19	17	18
343769	19	17	18
343969	19	17	18
344169	19	17	18
344370	19	17	18
344570	19	17	18
344770	19	17	18
344970	19	17	18
345171	19	17	18
345371	19	17	18
345572	19	17	18
345772	19	17	18
345972	19	17	18
346173	19	17	18
346373	19	17	18
346573	19	17	18
346773	19	17	18
346974	19	17	18
347174	19	17	18
347374	19	17	18
347575	19	17	18
347775	19	17	18
347976	19	17	18
348177	19	17	18
348376	19	17	18
348577	19	17	18
348777	19	17	18
348977	19	17	18
349178	19	17	18
349378	19	17	18
349578	19	17	18
349779	19	17	18
349979	19	17	18
350179	19	17	18
350380	19	17	18
350580	19	17	18
350780	19	17	18
350981	19	17	18
351181	19	17	18
351381	19	17	18
351582	19	17	18
351782	19	17	18
351983	19	17	18
352183	19	17	18
352383	19	17	18
352584	19	17	18
352784	19	17	18
352984	19	17	18
353185	19	17	18
353385	19	17	18
353585	19	17	18
353786	19	17	18
353986	19	17	18
354186	19	17	18
354386	19	17	18
354587	19	17	18
354787	19	17	18
354987	19	17	18
355188	19	17	18
355388	19	17	18
355589	19	17	18
355789	19	17	18
355989	19	17	18
356190	19	17	18
356390	19	17	18
356590	19	17	18
356791	19	17	18
356991	19	17	18
357191	19	17	18
357392	19	17	18
357592	19	17	18
357792	19	17	18
357993	19	17	18
358193	19	17	18
358393	19	17	18
358594	19	17	18
358794	19	17	18
358994	19	17	18
359195	19	17	18
359398	19	17	18
359595	19	17	18
359796	19	17	18
359996	19	17	18
360196	19	17	18
360397	19	17	18
360597	19	17	18
360797	19	17	18
360998	19	17	18
361198	19	17	18
361398	19	17	18
361598	19	17	18
361799	19	17	18
361999	19	17	18
362199	19	17	18
362400	19	17	18
362600	19	17	18
362800	19	17	18
363001	19	17	18
363201	19	17	18
363401	19	17	18
363602	19	17	18
363802	19	17	18
364002	19	17	18
364203	19	17	18
364403	19	17	18
364603	19	17	18
364804	19	17	18
365004	19	17	18
365204	19	17	18
365405	19	17	18
365605	19	17	18
365805	19	17	18
366006	19	17	18
366206	19	17	18
366406	19	17	18
366607	19	17	18
366807	19	17	18
367007	19	17	18
367208	19	17	18
367408	19	17	18
367608	19	17	18
367809	19	17	18
368009	19	17	18
368209	19	17	18
368410	19	17	18
368610	19	17	18
368810	19	17	18
369011	19	17	18
369211	19	17	18
369411	19	17	18
369612	19	17	18
369812	19	17	18
370012	19	17	18
370213	19	17	18
370413	19	17	18
370613	19	17	18
370814	19	17	18
371014	19	17	18
371215	19	17	18
371415	19	17	18
371615	19	17	18
371815	19	17	18
372016	19	17	18
372216	19	17	18
372416	19	17	18
372617	19	17	18
372817	19	17	18
373017	19	17	18
373218	19	17	18
373418	19	17	18
373618	19	17	18
373819	19	17	18
374019	19	17	18
374219	19	17	18
374420	19	17	18
374620	19	17	18
374820	19	17	18
