timestamp	value
307463	86
307493	87
307523	86
307553	86
307583	86
307613	86
307643	87
307673	87
307703	85
307733	87
307763	87
307793	86
307823	86
307853	87
307883	86
307913	87
307986	87
307986	86
308004	87
308033	86
308063	87
308093	87
308123	86
308153	86
308183	86
308213	87
308243	87
308273	87
308303	87
308333	87
308363	87
308393	87
308423	87
308453	86
308483	87
308514	86
308543	86
308573	86
308603	86
308634	87
308663	86
308694	86
308723	86
308753	87
308783	86
308814	86
308843	87
308873	86
308903	86
308933	87
308964	87
308994	86
309024	86
309053	86
309083	86
309113	86
309143	86
309173	86
309203	86
309233	86
309264	86
309294	86
309323	86
309353	87
309383	86
309413	86
309443	87
309473	86
309504	86
309534	85
309564	87
309594	86
309623	87
309653	86
309683	86
309713	86
309743	87
309773	86
309804	87
309834	87
309864	87
309894	87
309924	86
309953	87
309983	86
310014	87
310044	87
310074	87
310103	87
310134	86
310164	86
310193	87
310224	86
310253	86
310284	87
310314	86
310344	85
310374	86
310403	86
310434	86
310464	86
310494	86
310524	86
310553	86
310584	86
310614	87
310643	87
310674	87
310703	86
310734	85
310764	86
310793	86
310824	86
310854	87
310884	86
310914	87
310943	87
310974	85
311004	87
311034	86
311064	87
311094	87
311124	86
311154	86
311184	86
311214	87
311244	86
311274	86
311304	87
311334	86
311364	86
311394	86
311424	87
311454	86
311484	87
311514	87
311544	85
311574	87
311604	86
311634	86
311664	86
311694	86
311724	85
311754	87
311784	87
311814	87
311844	86
311874	87
311904	86
311934	86
311964	86
311994	87
312024	86
312054	87
312084	86
312114	87
312144	87
312174	86
312204	87
312234	87
312264	87
312294	87
312324	87
312354	87
312384	86
312414	87
312444	85
312474	86
312504	87
312534	86
312564	85
312594	86
312624	87
312654	87
312684	87
312714	86
312744	86
312774	85
312804	87
312834	87
312864	87
312894	87
312924	87
312954	87
312984	87
313014	86
313044	87
313074	86
313104	87
313134	87
313164	86
313194	86
313224	87
313254	87
313284	87
313314	87
313344	86
313374	87
313404	86
313434	86
313464	86
313494	87
313524	87
313554	86
313584	87
313614	87
313644	87
313674	86
313704	86
313734	87
313764	87
313794	87
313824	86
313854	86
313884	86
313914	87
313944	87
313974	86
314004	86
314034	87
314064	87
314094	85
314124	86
314154	86
314184	86
314214	87
314244	86
314274	87
314304	87
314334	86
314364	86
314394	87
314424	86
314454	86
314484	87
314514	87
314544	87
314574	86
314604	86
314634	85
314664	86
314694	87
314724	86
314754	86
314784	87
314814	87
314844	87
314874	87
314904	87
314934	87
314964	86
314994	87
315024	87
315054	84
315084	87
315114	87
315144	87
315174	86
315204	87
315234	86
315264	87
315294	86
315324	86
315354	87
315384	87
315414	87
315444	86
315474	86
315504	86
315534	87
315564	85
315594	87
315624	85
315654	87
315684	86
315714	86
315744	87
315774	87
315804	86
315834	87
315864	86
315894	86
315924	87
315954	86
315984	87
316014	87
316044	87
316074	86
316104	86
316134	86
316164	87
316194	86
316224	87
316254	86
316284	87
316314	87
316344	87
316374	86
316404	87
316434	86
316464	87
316494	87
316524	87
316554	86
316584	87
316614	86
316644	86
316674	86
316704	86
316734	86
316764	87
316794	86
316824	86
316854	86
316884	87
316914	86
316944	87
316974	87
317004	86
317034	86
317064	86
317094	86
317124	86
317154	87
317184	87
317214	87
317244	87
317274	87
317304	85
317334	86
317364	87
317394	86
317424	87
317454	86
317484	86
317514	87
317544	86
317574	86
317604	86
317634	87
317664	86
317694	87
317724	87
317754	87
317784	86
317814	87
317844	87
317874	86
317904	87
317934	85
317964	86
317994	87
318024	87
318054	86
318084	86
318114	87
318144	86
318174	87
318204	86
318234	87
318264	86
318294	86
318324	87
318354	85
318384	87
318414	86
318444	86
318474	86
318504	85
318534	87
318564	86
318594	86
318624	86
318654	86
318684	86
318714	86
318744	86
318774	86
318804	86
318834	86
318864	86
318894	86
318924	86
318954	87
318984	86
319014	86
319044	86
319074	87
319104	87
319134	86
319164	87
319194	87
319224	87
319254	86
319284	86
319314	87
319344	87
319374	86
319404	86
319434	85
319464	86
319494	86
319524	87
319554	86
319584	86
319614	87
319644	87
319674	86
319704	86
319734	85
319764	86
319794	86
319824	87
319854	87
319884	87
319914	86
319944	87
319974	86
320004	87
320034	87
320064	86
320094	86
320124	87
320154	86
320184	87
320214	86
320244	83
320274	87
320304	87
320334	86
320364	87
320394	86
320424	86
320454	87
320484	85
320514	86
320544	87
320574	86
320604	86
320634	86
320664	86
320694	86
320724	86
320784	86
320814	87
320844	87
320874	87
320904	86
320934	85
320964	89
320994	87
321024	87
321054	86
321084	87
321114	86
321144	86
321174	86
321204	86
321234	87
321264	87
321294	87
321324	87
321354	86
321384	87
321414	87
321444	86
321474	86
321504	87
321534	86
321564	87
321594	87
321624	86
321654	85
321684	86
321714	87
321744	86
321774	86
321804	86
321834	86
321864	86
321894	87
321924	87
321954	87
321984	86
322014	86
322044	86
322074	86
322104	86
322134	83
322164	87
322194	86
322224	87
322254	87
322284	86
322314	86
322344	86
322374	86
322404	86
322434	86
322464	86
322494	87
322524	86
322554	86
322584	87
322614	86
322644	86
322674	86
322704	87
322734	87
322764	86
322794	87
322824	87
322854	86
322884	86
322914	87
322944	87
322974	86
323004	87
323034	86
323064	87
323094	87
323124	86
323154	87
323184	87
323214	86
323244	86
323274	86
323304	87
323334	87
323364	86
323394	85
323424	86
323454	86
323484	86
323514	87
323544	86
323574	86
323604	87
323634	86
323664	87
323694	87
323724	86
323754	87
323784	86
323814	87
323844	86
323874	87
323904	86
323934	86
323964	87
323994	86
324024	87
324054	86
324084	87
324114	86
324144	86
324174	86
324204	85
324234	86
324264	87
324294	85
324324	86
324354	87
324384	86
324414	86
324444	86
324474	87
324504	87
324534	86
324564	87
324594	86
324624	87
324654	86
324684	87
324714	86
324744	86
324774	85
324804	87
324834	86
324864	86
324894	87
324924	86
324954	85
324984	87
325014	86
325044	87
325074	86
325104	86
325134	87
325164	86
325194	86
325224	87
325255	87
325284	86
325314	86
325344	87
325374	87
325404	86
325434	86
325464	87
325494	86
325524	86
325554	87
325584	87
325614	87
325644	86
325674	87
325704	87
325734	86
325764	86
325794	86
325824	86
325854	86
325884	86
325914	85
325944	87
325974	86
326004	87
326034	87
326064	87
326094	86
326124	87
326154	86
326184	87
326214	86
326244	86
326274	86
326304	87
326334	87
326364	87
326394	87
326424	86
326454	87
326484	87
326514	87
326544	87
326574	86
326604	87
326634	86
326664	87
326694	86
326724	86
326754	86
326784	87
326814	87
326844	86
326874	87
326904	86
326934	87
326964	86
326994	86
327024	87
327054	86
327084	86
327114	86
327144	86
327174	86
327204	86
327234	86
327264	86
327294	87
327324	85
327354	86
327384	86
327414	86
327474	86
327504	86
327534	86
327564	86
327594	86
327624	86
327654	86
327684	87
327714	86
327744	85
327774	87
327804	86
327834	87
327864	86
327894	86
327924	86
327954	86
327984	86
328014	87
328044	86
328074	86
328104	86
328134	87
328164	86
328194	86
328224	87
328254	87
328284	87
328314	86
328344	87
328374	86
328404	86
328434	86
328464	86
328494	87
328524	86
328554	86
328584	87
328614	86
328644	86
328674	87
328704	86
328734	87
328764	86
328794	87
328824	87
328854	86
328884	86
328914	87
328944	86
328974	86
329004	87
329034	86
329064	86
329094	87
329124	86
329154	87
329184	86
329214	86
329244	87
329274	85
329304	86
329334	87
329364	87
329394	86
329424	86
329454	86
329484	86
329514	85
329544	87
329574	87
329604	86
329634	87
329664	86
329694	86
329724	87
329754	87
329784	86
329814	86
329845	86
329874	87
329904	85
329934	87
329964	86
329994	86
330024	86
330054	87
330084	87
330114	87
330144	87
330174	87
330204	87
330234	86
330264	87
330294	86
330324	86
330354	87
330384	87
330414	86
330444	87
330474	86
330504	85
330534	86
330564	87
330594	86
330624	87
330654	86
330684	87
330714	86
330744	86
330774	87
330804	86
330834	86
330864	87
330894	87
330924	87
330954	87
330984	86
331014	86
331044	86
331074	86
331104	86
331134	86
331164	86
331194	87
331224	87
331254	86
331284	86
331314	86
331344	87
331374	85
331404	87
331434	86
331464	87
331494	86
331524	87
331554	87
331584	86
331614	87
331644	87
331674	86
331704	86
331734	87
331764	86
331794	87
331824	87
331854	86
331885	86
331914	86
331944	86
331974	87
332004	86
332034	86
332064	87
332094	87
332124	86
332154	86
332184	87
332214	87
332244	87
332274	86
332304	87
332334	87
332364	86
332394	85
332424	86
332454	87
332484	87
332514	87
332544	87
332574	86
332604	86
332634	87
332664	87
332694	86
332724	86
332754	87
332784	87
332814	86
332844	87
332874	87
332904	85
332934	87
332964	86
332994	87
333024	86
333054	87
333084	86
333114	87
333144	86
333174	85
333204	86
333234	87
333264	86
333294	86
333324	86
333354	86
333384	86
333416	87
333444	87
333474	85
333504	86
333534	87
333564	86
333594	86
333624	86
333654	87
333684	87
333714	87
333744	87
333774	86
333804	87
333834	87
333864	87
333894	86
333924	85
333954	87
333984	86
334014	86
334044	87
334074	86
334104	86
334134	85
334164	87
334194	86
334224	87
334254	87
334284	87
334314	87
334344	86
334374	86
334404	86
334434	86
334464	87
334494	87
334524	86
334554	86
334584	86
334614	86
334644	87
334674	87
334704	87
334734	87
334764	87
334794	87
334824	87
334854	86
334884	86
334914	87
334944	87
334974	86
335004	87
335034	86
335064	87
335094	87
335124	87
335154	87
335184	87
335214	87
335244	86
335274	87
335304	87
335334	87
335364	87
335394	87
335424	86
335454	87
335484	87
335514	87
335544	87
335574	86
335604	86
335636	86
335664	87
335694	86
335724	86
335754	87
335784	87
335814	87
335844	87
335874	87
335904	86
335934	87
335964	87
335994	87
336024	87
336054	86
336084	86
336114	86
336144	86
336174	87
336204	86
336234	87
336264	86
336294	87
336324	86
336354	87
336384	86
336414	86
336444	86
336474	86
336504	86
336534	86
336564	86
336594	86
336624	86
336654	87
336684	86
336714	87
336744	86
336774	87
336804	86
336834	86
336864	86
336894	87
336929	87
336954	87
336984	86
337014	87
337044	86
337074	87
337104	87
337134	87
337164	86
337194	86
337224	87
337254	86
337284	86
337314	86
337344	86
337374	86
337404	86
337434	87
337464	87
337494	87
337524	87
337554	86
337584	86
337614	87
337644	87
337674	87
337704	86
337734	87
337764	86
337794	87
337824	87
337854	86
337884	87
337914	86
337944	86
337974	86
338004	86
338034	87
338064	86
338094	85
338124	87
338154	87
338184	86
338214	86
338244	87
338274	85
338304	86
338334	86
338364	85
338394	86
338424	86
338454	86
338484	87
338514	87
338544	86
338574	86
338604	87
338634	85
338664	87
338694	86
338724	86
338754	86
338784	86
338814	86
338844	86
338874	87
338904	87
338934	87
338964	87
338994	86
339026	86
339054	86
339084	87
339114	87
339144	87
339174	86
339204	87
339234	84
339264	86
339294	87
339324	86
339354	86
339384	87
339414	87
339444	86
339474	86
339504	86
339537	86
339564	87
339594	87
339624	86
339654	86
339684	87
339714	87
339744	86
339774	86
339804	87
339834	87
339864	86
339894	87
339924	87
339954	87
339984	87
340014	87
340045	87
340074	86
340104	86
340134	87
340164	86
340194	87
340224	87
340254	87
340284	87
340314	86
340344	87
340374	86
340404	86
340434	86
340464	87
340494	87
340524	86
340554	86
340584	87
340614	86
340644	87
340674	87
340704	86
340734	86
340764	86
340794	87
340824	86
340854	86
340884	87
340914	87
340944	87
340974	86
341004	86
341034	85
341064	87
341094	86
341124	87
341154	87
341184	87
341214	86
341244	87
341274	86
341304	86
341334	86
341364	87
341394	87
341424	87
341454	87
341484	87
341514	86
341544	86
341574	86
341604	86
341634	86
341664	87
341694	86
341724	87
341754	87
341784	86
341814	87
341844	85
341874	86
341904	86
341934	87
341964	86
341994	87
342024	87
342054	87
342084	87
342114	87
342144	86
342174	87
342204	87
342234	86
342264	86
342294	86
342324	86
342354	86
342384	86
342414	86
342444	87
342474	86
342504	86
342534	87
342564	86
342594	86
342624	86
342654	87
342684	86
342714	86
342744	86
342774	86
342804	87
342834	87
342864	86
342894	86
342924	86
342954	87
342984	86
343014	87
343044	86
343074	86
343104	87
343134	87
343164	85
343194	87
343224	86
343254	86
343284	86
343314	87
343344	87
343374	86
343404	87
343434	87
343464	86
343494	87
343524	86
343554	86
343584	87
343614	86
343644	86
343674	86
343704	86
343734	86
343764	86
343794	86
343824	86
343854	86
343884	86
343914	87
343944	86
343974	86
344004	86
344034	87
344064	87
344094	86
344124	86
344154	86
344184	86
344214	85
344244	86
344274	86
344304	86
344334	86
344364	86
344394	87
344424	86
344454	86
344484	87
344514	87
344544	87
344574	86
344604	87
344635	86
344664	86
344694	85
344724	87
344754	86
344784	86
344814	86
344844	86
344874	86
344904	86
344934	86
344964	87
344994	87
345024	87
345054	87
345084	87
345114	87
345145	87
345174	87
345204	86
345234	85
345264	87
345294	87
345324	86
345354	87
345384	86
345414	85
345444	86
345474	87
345504	87
345534	86
345564	86
345594	87
345624	86
345654	86
345684	86
345714	86
345744	87
345774	86
345804	86
345834	86
345864	87
345894	86
345924	86
345954	86
345984	87
346014	87
346044	86
346074	87
346104	86
346134	86
346164	86
346194	86
346224	87
346254	86
346284	86
346314	86
346344	86
346374	87
346404	87
346434	87
346464	86
346494	87
346524	87
346554	87
346584	86
346614	87
346644	87
346674	86
346704	87
346734	87
346764	87
346794	86
346824	85
346854	87
346884	87
346914	86
346944	87
346974	86
347004	87
347034	86
347064	87
347094	86
347124	86
347154	87
347184	86
347214	87
347244	87
347274	87
347304	86
347334	86
347364	87
347394	86
347424	86
347454	86
347484	86
347514	86
347544	86
347574	86
347604	86
347634	86
347664	86
347694	86
347724	86
347754	86
347784	87
347814	86
347844	86
347874	87
347904	86
347934	85
347964	87
347994	86
348024	86
348054	86
348084	87
348114	86
348144	86
348174	87
348204	86
348234	87
348264	85
348294	86
348324	86
348354	86
348384	86
348414	87
348444	86
348474	86
348504	86
348534	87
348564	86
348594	87
348624	86
348654	86
348684	87
348714	86
348744	87
348774	87
348804	86
348834	86
348864	87
348894	87
348924	86
348954	87
348984	87
349014	86
349044	86
349074	87
349104	86
349134	87
349164	87
349194	87
349224	87
349254	85
349284	84
349315	86
349344	87
349375	87
349404	86
349434	86
349464	87
349494	87
349524	87
349554	86
