timestamp	max	min	total
490636	3.7276	3.6806	400.3547
490648	3.7276	3.6806	400.354
490687	3.7275	3.6806	400.3536
490727	3.7276	3.6806	400.3535
490768	3.7276	3.6805	400.3532
490837	3.7275	3.6806	400.3543
490849	3.7275	3.6806	400.3539
490888	3.7276	3.6806	400.3537
490928	3.7275	3.6806	400.353
490968	3.7275	3.6805	400.3537
491037	3.7276	3.6806	400.3538
491049	3.7276	3.6806	400.3537
491088	3.7276	3.6806	400.3545
491205	3.7276	3.6806	400.3542
491205	3.7276	3.6806	400.3541
491237	3.7275	3.6806	400.3547
491249	3.7275	3.6806	400.353
491288	3.7276	3.6806	400.3541
491329	3.7276	3.6806	400.3525
491369	3.7276	3.6806	400.3534
491438	3.7276	3.6806	400.3537
491450	3.7276	3.6806	400.3538
491489	3.7276	3.6806	400.3536
491529	3.7276	3.6806	400.3547
491569	3.7275	3.6805	400.3537
491638	3.7276	3.6805	400.3532
491650	3.7276	3.6806	400.3546
491689	3.7275	3.6806	400.3529
491731	3.7275	3.6806	400.3529
491769	3.7275	3.6806	400.3539
491838	3.7276	3.6806	400.3536
491850	3.7276	3.6806	400.354
491890	3.7276	3.6806	400.3534
491930	3.7275	3.6806	400.3525
491970	3.7275	3.6806	400.3551
492039	3.7276	3.6805	400.3537
492051	3.7276	3.6806	400.3534
492090	3.7275	3.6806	400.3524
492130	3.7276	3.6806	400.3546
492170	3.7276	3.6806	400.353
492241	3.7275	3.6806	400.3541
492251	3.7275	3.6806	400.353
492290	3.7275	3.6807	400.3543
492330	3.7276	3.6806	400.3539
492370	3.7276	3.6807	400.3544
492440	3.7276	3.6806	400.3545
492452	3.7276	3.6806	400.3539
492491	3.7275	3.6806	400.3532
492531	3.7276	3.6806	400.3536
492571	3.7275	3.6806	400.3541
492640	3.7276	3.6806	400.3535
492652	3.7276	3.6806	400.3533
492691	3.7275	3.6806	400.3537
492731	3.7275	3.6805	400.3542
492771	3.7276	3.6806	400.3537
492840	3.7276	3.6805	400.3539
492852	3.7276	3.6805	400.3532
492891	3.7276	3.6806	400.3535
492931	3.7276	3.6806	400.3533
492972	3.7276	3.6805	400.3541
493041	3.7275	3.6805	400.3532
493053	3.7275	3.6805	400.3532
493092	3.7276	3.6805	400.3533
493132	3.7275	3.6807	400.3533
493172	3.7276	3.6806	400.3543
493241	3.7276	3.6807	400.3538
493253	3.7276	3.6806	400.3526
493292	3.7276	3.6806	400.3536
493332	3.7275	3.6806	400.3534
493372	3.7275	3.6806	400.3559
493441	3.7275	3.6806	400.3534
493453	3.7275	3.6806	400.3528
493493	3.7276	3.6806	400.3537
