timestamp	meters	rotations	angle	clock_period
490654	0	19	0	0
490755	0	0	0	0
490855	0	0	0	0
490954	0	0	0	0
491054	0	0	0	0
491205	0	0	0	0
491254	0	0	0	0
491354	0	0	0	0
491454	0	0	0	0
491555	0	0	0	0
491654	0	0	0	0
491754	0	0	0	0
491854	0	0	0	0
491955	0	0	0	0
492054	0	0	0	0
492154	0	0	0	0
492255	0	19	0	0
492355	0	0	0	0
492454	0	0	0	0
492554	0	0	0	0
492655	0	0	0	0
492754	0	0	0	0
492855	0	0	0	0
492954	0	0	0	0
493055	0	0	0	0
493154	0	0	0	0
493354	0	0	0	0
493455	0	0	0	0
493555	0	0	0	0
493654	0	0	0	0
493756	0	19	0	0
493855	0	0	0	0
493954	0	0	0	0
494054	0	0	0	0
494155	0	0	0	0
494255	0	0	0	0
494354	0	0	0	0
494455	0	0	0	0
494555	0	0	0	0
494655	0	0	0	0
494754	0	0	0	0
494855	0	0	0	0
494955	0	0	0	0
495055	0	0	0	0
495155	0	0	0	0
495255	0	0	0	0
495355	0	0	0	0
495454	0	0	0	0
495554	0	0	0	0
495655	0	0	0	0
495754	0	0	0	0
495855	0	0	0	0
495955	0	0	0	0
496055	0	0	0	0
496155	0	0	0	0
496255	0	0	0	0
496355	0	0	0	0
496455	0	0	0	0
496555	0	0	0	0
496655	0	0	0	0
496755	0	0	0	0
496855	0	0	0	0
496955	0	0	0	0
497055	0	0	0	0
497155	0	0	0	0
497255	0	0	0	0
497355	0	0	0	0
497455	0	0	0	0
497555	0	0	0	0
497655	0	0	0	0
497755	0	0	0	0
497855	0	0	0	0
497955	0	0	0	0
498055	0	0	0	0
498155	0	0	0	0
498255	0	0	0	0
498355	0	0	0	0
498455	0	0	0	0
498555	0	0	0	0
498655	0	0	0	0
498755	0	0	0	0
498856	0	0	0	0
498955	0	0	0	0
499055	0	19	0	0
499155	0	0	0	0
499255	0	0	0	0
499355	0	0	0	0
499455	0	0	0	0
499555	0	0	0	0
499655	0	0	0	0
499755	0	0	0	0
499855	0	0	0	0
499955	0	0	0	0
500055	0	0	0	0
500155	0	0	0	0
500255	0	0	0	0
500355	0	0	0	0
500455	0	0	0	0
500555	0	0	0	0
500655	0	0	0	0
500755	0	0	0	0
500855	0	0	0	0
500955	0	0	0	0
501055	0	19	0	0
501155	0	0	0	0
501255	0	0	0	0
501355	0	0	0	0
501455	0	0	0	0
501555	0	0	0	0
501655	0	0	0	0
501755	0	0	0	0
501855	0	0	0	0
501955	0	0	0	0
502055	0	0	0	0
502155	0	0	0	0
502255	0	0	0	0
502355	0	0	0	0
502455	0	0	0	0
502555	0	0	0	0
502655	0	0	0	0
502755	0	0	0	0
502855	0	0	0	0
502955	0	0	0	0
503055	0	0	0	0
503155	0	0	0	0
503255	0	0	0	0
503355	0	0	0	0
503455	0	0	0	0
503555	0	0	0	0
503655	0	0	0	0
503755	0	0	0	0
503855	0	0	0	0
503956	0	0	0	0
504055	0	0	0	0
504155	0	0	0	0
504255	0	0	0	0
504355	0	0	0	0
504455	0	19	0	0
504555	0	0	0	0
504655	0	0	0	0
504755	0	19	0	0
504855	0	0	0	0
504955	0	0	0	0
505055	0	0	0	0
505155	0	0	0	0
505255	0	19	0	0
505355	0	0	0	0
505455	0	0	0	0
505555	0	0	0	0
505655	0	0	0	0
505755	0	0	0	0
505855	0	0	0	0
505955	0	0	0	0
506055	0	0	0	0
506155	0	0	0	0
506255	0	0	0	0
506355	0	0	0	0
506455	0	0	0	0
506555	0	0	0	0
506655	0	0	0	0
506755	0	0	0	0
506855	0	0	0	0
506955	0	0	0	0
507055	0	0	0	0
507155	0	0	0	0
507255	0	0	0	0
507355	0	0	0	0
507455	0	0	0	0
507555	0	0	0	0
507655	0	0	0	0
507755	0	0	0	0
507855	0	0	0	0
507955	0	0	0	0
508055	0	0	0	0
508155	0	0	0	0
508255	0	0	0	0
508355	0	0	0	0
508455	0	0	0	0
508555	0	0	0	0
508655	0	0	0	0
508755	0	0	0	0
508855	0	0	0	0
508955	0	0	0	0
509056	0	0	0	0
509155	0	0	0	0
509255	0	0	0	0
509355	0	0	0	0
509455	0	0	0	0
509555	0	0	0	0
509655	0	0	0	0
509755	0	0	0	0
509855	0	0	0	0
509955	0	0	0	0
510055	0	0	0	0
510155	0	0	0	0
510255	0	0	0	0
510355	0	0	0	0
510455	0	0	0	0
510555	0	0	0	0
