timestamp	value
490648	87
490678	87
490708	87
490738	87
490768	87
490798	87
490828	86
490858	85
490888	86
490918	87
490948	87
490978	86
491008	86
491038	87
491068	86
491098	87
491128	86
491205	86
491205	86
491218	86
491248	87
491278	86
491308	86
491338	86
491368	87
491398	86
491428	86
491458	86
491488	86
491518	86
491548	87
491578	86
491608	87
491638	87
491668	87
491698	87
491731	86
491758	85
491788	86
491818	86
491848	86
491878	87
491908	86
491938	87
491968	86
491998	86
492028	86
492058	85
492088	86
492118	87
492148	87
492178	87
492208	86
492238	87
492268	86
492298	86
492328	85
492358	86
492388	86
492418	87
492448	86
492478	86
492508	87
492538	87
492568	85
492598	86
492628	86
492658	87
492688	87
492718	87
492748	87
492778	86
492808	85
492838	86
492868	86
492898	86
492928	86
492958	87
492988	87
493018	87
493048	87
493078	87
493108	87
493138	86
493168	86
493198	87
493228	87
493258	87
493288	87
493318	87
493348	87
493378	87
493408	86
493438	85
493468	85
493498	86
493528	87
493558	86
493588	86
493618	87
493648	87
493678	87
493708	85
493738	86
493768	86
493798	86
493828	86
493858	87
493888	86
493918	87
493948	86
493978	86
494008	87
494038	87
494068	86
494098	86
494128	87
494158	87
494188	87
494218	87
494248	86
494278	86
494308	86
494338	87
494368	87
494398	87
494428	85
494458	86
494488	87
494518	85
494548	86
494578	87
494608	87
494638	86
494668	86
494698	86
494728	86
494758	85
494788	87
494818	86
494848	87
494878	87
494908	87
494938	87
494968	86
494998	87
495028	86
495058	86
495088	86
495118	86
495148	86
495178	86
495208	87
495238	86
495268	87
495298	87
495328	86
495358	86
495388	86
495418	86
495448	86
495478	87
495508	86
495538	86
495568	86
495598	86
495628	87
495658	87
495688	86
495718	86
495748	87
495778	87
495808	87
495838	86
495868	86
495898	87
495928	87
495958	86
495988	86
496018	86
496048	86
496078	87
496108	86
496138	86
496168	87
496198	86
496228	86
496258	86
496288	86
496318	86
496348	87
496378	86
496408	87
496438	86
496468	87
496498	86
496528	85
496558	85
496588	86
496618	86
496648	85
496678	86
496708	87
496738	86
496768	85
496798	86
496828	86
496858	87
496888	86
496918	86
496948	87
496978	87
497008	86
497038	86
497068	86
497098	85
497128	87
497158	87
497188	87
497218	86
497248	87
497278	86
497308	87
497338	87
497368	85
497398	87
497428	86
497458	86
497488	86
497518	87
497548	86
497578	87
497608	87
497638	87
497668	87
497698	87
497728	87
497758	86
497788	87
497818	86
497848	87
497878	86
497908	87
497938	85
497968	86
497998	86
498028	87
498058	87
498088	85
498118	86
498148	87
498178	86
498209	86
498238	87
498268	86
498298	86
498328	87
498358	87
498388	87
498418	87
498448	87
498478	87
498508	85
498538	86
498568	86
498598	86
498628	85
498658	87
498688	85
498718	86
498748	87
498778	85
498808	86
498838	86
498868	87
498898	86
498928	87
