timestamp	max	min	average
3434441	19	17	18
3434641	19	17	18
3434841	19	17	18
3435042	19	17	18
3435242	19	17	18
3435443	19	17	18
3435643	19	17	18
3435843	19	17	18
3436044	19	17	18
3436244	19	17	18
3436445	19	17	18
3436645	19	17	18
3436846	19	17	18
3437046	19	17	18
3437246	19	17	18
3437447	19	17	18
3437647	19	17	18
3437848	19	17	18
3438048	19	17	18
3438249	19	17	18
3438449	19	17	18
3438649	19	17	18
3438850	19	17	18
3439050	19	17	18
3439251	19	17	18
3439451	19	17	18
3439651	19	17	18
3439852	19	17	18
3440052	19	17	18
3440253	19	17	18
3440453	19	17	18
3440654	19	17	18
3440854	19	17	18
3441054	19	17	18
3441255	19	17	18
3441455	19	17	18
3441655	19	17	18
3441856	19	17	18
3442056	19	17	18
3442257	19	17	18
3442457	19	17	18
3442658	19	17	18
3442858	19	17	18
3443058	19	17	18
3443259	19	17	18
3443459	19	17	18
3443659	19	17	18
3443860	19	17	18
3444060	19	17	18
3444261	19	17	18
3444461	19	17	18
3444661	19	17	18
3444862	19	17	18
3445062	19	17	18
3445263	19	17	18
3445463	19	17	18
3445663	19	17	18
3445864	19	17	18
3446064	19	17	18
3446265	19	17	18
3446465	19	17	18
3446665	19	17	18
3446866	19	17	18
3447066	19	17	18
3447267	19	17	18
3447467	19	17	18
3447667	19	17	18
3447868	19	17	18
3448068	19	17	18
3448269	19	17	18
3448469	19	17	18
3448670	19	17	18
3448870	19	17	18
3449070	19	17	18
3449271	19	17	18
3449471	19	17	18
3449672	19	17	18
3449872	19	17	18
3450073	19	17	18
3450273	19	17	18
3450473	19	17	18
3450674	19	17	18
3450874	19	17	18
3451075	19	17	18
3451275	19	17	18
3451475	19	17	18
3451676	19	17	18
3451876	19	17	18
3452077	19	17	18
3452277	19	17	18
3452477	19	17	18
3452678	19	17	18
3452878	19	17	18
3453079	19	17	18
3453279	19	17	18
3453480	19	17	18
3453680	19	17	18
3453880	19	17	18
3454081	19	17	18
3454281	19	17	18
3454482	19	17	18
3454682	19	17	18
3454883	19	17	18
3455083	19	17	18
3455283	19	17	18
3455484	19	17	18
3455684	19	17	18
3455885	19	17	18
3456085	19	17	18
3456285	19	17	18
3456486	19	17	18
3456686	19	17	18
3456887	19	17	18
3457087	19	17	18
3457287	19	17	18
3457488	19	17	18
3457688	19	17	18
3457889	19	17	18
3458089	19	17	18
3458289	19	17	18
3458490	19	17	18
3458690	19	17	18
3458891	19	17	18
3459091	19	17	18
3459291	19	17	18
3459492	19	17	18
3459692	19	17	18
3459893	19	17	18
3460093	19	17	18
3460294	19	17	18
3460494	19	17	18
3460694	19	17	18
3460897	19	17	18
3461095	19	17	18
3461296	19	17	18
3461496	19	17	18
3461696	19	17	18
3461897	19	17	18
3462097	19	17	18
3462298	19	17	18
3462498	19	17	18
3462699	19	17	18
3462899	19	17	18
3463100	19	17	18
3463300	19	17	18
3463500	19	17	18
3463701	19	17	18
3463901	19	17	18
3464102	19	17	18
3464302	19	17	18
3464502	19	17	18
3464703	19	17	18
3464903	19	17	18
3465104	19	17	18
3465304	19	17	18
3465505	19	17	18
3465705	19	17	18
3465905	19	17	18
3466106	19	17	18
3466306	19	17	18
3466507	19	17	18
3466707	19	17	18
3466908	19	17	18
3467108	19	17	18
3467309	19	17	18
3467509	19	17	18
3467709	19	17	18
3467910	19	17	18
3468110	19	17	18
3468311	19	17	18
3468511	19	17	18
3468711	19	17	18
3468912	19	17	18
3469112	19	17	18
3469313	19	17	18
3469513	19	17	18
3469714	19	17	18
3469914	19	17	18
3470114	19	17	18
3470315	19	17	18
3470515	19	17	18
3470716	19	17	18
3470916	19	17	18
3471116	19	17	18
3471317	19	17	18
3471517	19	17	18
3471718	19	17	18
3471918	19	17	18
3472119	19	17	18
3472319	19	17	18
3472519	19	17	18
3472720	19	17	18
3472920	19	17	18
3473121	19	17	18
3473321	19	17	18
3473521	19	17	18
3473722	19	17	18
3473922	19	17	18
3474123	19	17	18
3474323	19	17	18
3474523	19	17	18
3474724	19	17	18
3474924	19	17	18
3475125	19	17	18
3475325	19	17	18
3475525	19	17	18
3475726	19	17	18
3475926	19	17	18
3476127	19	17	18
3476327	19	17	18
3476527	19	17	18
3476728	19	17	18
3476928	19	17	18
3477129	19	17	18
3477329	19	17	18
3477529	19	17	18
3477730	19	17	18
3477930	19	17	18
3478131	19	17	18
3478331	19	17	18
3478531	19	17	18
3478732	19	17	18
3478932	19	17	18
3479133	19	17	18
3479333	19	17	18
3479533	19	17	18
3479734	19	17	18
3479934	19	17	18
3480135	19	17	18
3480335	19	17	18
3480535	19	17	18
3480736	19	17	18
3480936	19	17	18
3481137	19	17	18
3481337	19	17	18
3481538	19	17	18
3481738	19	17	18
3481938	19	17	18
3482139	19	17	18
3482339	19	17	18
3482540	19	17	18
3482740	19	17	18
3482941	19	17	18
3483141	19	17	18
3483341	19	17	18
3483542	19	17	18
3483742	19	17	18
3483943	19	17	18
3484143	19	17	18
3484344	19	17	18
3484544	19	17	18
3484744	19	17	18
3484945	19	17	18
3485145	19	17	18
3485346	19	17	18
3485546	19	17	18
3485746	19	17	18
3485947	19	17	18
3486147	19	17	18
3486348	19	17	18
3486548	19	17	18
3486749	19	17	18
3486949	19	17	18
3487149	19	17	18
3487350	19	17	18
3487550	19	17	18
3487751	19	17	18
3487951	19	17	18
3488151	19	17	18
3488352	19	17	18
3488552	19	17	18
3488753	19	17	18
3488953	19	17	18
3489153	19	17	18
3489354	19	17	18
3489554	19	17	18
3489755	19	17	18
3489955	19	17	18
3490156	19	17	18
3490356	19	17	18
3490556	19	17	18
3490757	19	17	18
3490957	19	17	18
3491158	19	17	18
3491358	19	17	18
3491559	19	17	18
3491759	19	17	18
3491959	19	17	18
3492160	19	17	18
3492360	19	17	18
3492561	19	17	18
3492761	19	17	18
3492962	19	17	18
3493162	19	17	18
3493362	19	17	18
3493563	19	17	18
3493763	19	17	18
3493964	19	17	18
3494164	19	17	18
3494364	19	17	18
3494565	19	17	18
3494765	19	17	18
3494966	19	17	18
3495166	19	17	18
3495367	19	17	18
3495567	19	17	18
