timestamp	max	min	total
3434452	3.728	3.6816	400.4209
3434464	3.728	3.6817	400.4216
3434503	3.7279	3.6818	400.4194
3434543	3.728	3.6818	400.421
3434583	3.728	3.6818	400.4212
3434652	3.728	3.6817	400.4208
3434664	3.728	3.6817	400.4202
3434703	3.728	3.6817	400.4209
3434743	3.7279	3.6818	400.4204
3434784	3.7279	3.6818	400.4205
3434853	3.728	3.6816	400.4206
3434865	3.728	3.6817	400.4202
3434951	3.7279	3.6818	400.4195
3434951	3.7279	3.6818	400.4194
3434984	3.7279	3.6818	400.4211
3435053	3.7279	3.6817	400.4213
3435065	3.7279	3.6817	400.4201
3435104	3.728	3.6818	400.4201
3435144	3.7279	3.6818	400.4209
3435184	3.7279	3.6817	400.4196
3435253	3.728	3.6817	400.4213
3435266	3.728	3.6816	400.4208
3435305	3.728	3.6818	400.4196
3435345	3.7279	3.6817	400.4204
3435385	3.7279	3.6818	400.4213
3435457	3.7279	3.6817	400.4194
3435466	3.7279	3.6817	400.4212
3435505	3.7279	3.6817	400.422
3435545	3.7278	3.6817	400.4214
3435585	3.7279	3.6817	400.422
3435654	3.7279	3.6818	400.4216
3435666	3.7279	3.6818	400.4209
3435705	3.7279	3.6818	400.4208
3435746	3.728	3.6818	400.4195
3435786	3.7278	3.6818	400.4223
3435855	3.7278	3.6817	400.4206
3435867	3.7278	3.6818	400.4204
3435906	3.7279	3.6818	400.4202
3435946	3.728	3.6818	400.4205
3435986	3.728	3.6819	400.4215
3436055	3.7279	3.6818	400.4204
3436067	3.7279	3.6818	400.4204
3436106	3.728	3.6818	400.4206
3436146	3.728	3.6818	400.4204
3436186	3.7279	3.6818	400.4211
3436256	3.7278	3.6818	400.4193
3436268	3.7278	3.6817	400.4211
3436307	3.7278	3.6817	400.4211
3436347	3.7279	3.6818	400.4216
3436387	3.7279	3.6817	400.4209
3436456	3.7278	3.6818	400.4209
3436471	3.7278	3.6818	400.4201
3436507	3.7279	3.6818	400.4199
3436547	3.7278	3.6816	400.4208
3436587	3.7278	3.6818	400.4212
3436656	3.7279	3.6817	400.4198
3436669	3.7279	3.6818	400.4203
3436708	3.7279	3.6818	400.4211
3436748	3.7279	3.6819	400.4208
3436788	3.7279	3.6817	400.4213
3436857	3.7279	3.6815	400.4205
3436869	3.7279	3.6817	400.4213
3436908	3.728	3.6817	400.4206
3436948	3.728	3.6818	400.4215
3436990	3.7279	3.6818	400.42
3437057	3.7279	3.6817	400.421
3437069	3.7279	3.6818	400.4213
3437108	3.728	3.6817	400.4216
3437148	3.7279	3.6818	400.4214
3437189	3.7279	3.6817	400.4205
3437258	3.728	3.6816	400.4211
3437270	3.728	3.6817	400.4206
3437309	3.728	3.6817	400.4202
3437349	3.7279	3.6818	400.4208
3437389	3.728	3.6818	400.4211
3437458	3.7279	3.6816	400.4195
3437470	3.7279	3.6816	400.4192
3437509	3.7278	3.6818	400.4204
3437549	3.7279	3.6817	400.4218
3437589	3.7279	3.6818	400.4217
3437659	3.7279	3.6817	400.4211
3437671	3.7279	3.6817	400.4202
3437710	3.7279	3.6817	400.4205
3437750	3.7279	3.6817	400.421
3437790	3.7279	3.6818	400.4209
3437859	3.7279	3.6816	400.4204
3437871	3.7279	3.6817	400.4197
3437910	3.7279	3.6818	400.4204
3437950	3.7279	3.6818	400.4203
3437990	3.7279	3.6818	400.4219
3438059	3.728	3.6818	400.4216
3438072	3.728	3.6817	400.421
3438111	3.728	3.6818	400.4203
3438151	3.728	3.6818	400.4193
3438191	3.7279	3.6818	400.4204
3438260	3.7278	3.6818	400.4206
3438272	3.7278	3.6817	400.4218
3438311	3.7279	3.6818	400.4211
3438351	3.728	3.6817	400.4206
3438391	3.728	3.6817	400.4198
3438460	3.7278	3.6817	400.4214
3438472	3.7278	3.6818	400.421
3438514	3.728	3.6818	400.4217
3438552	3.7279	3.6819	400.4207
3438592	3.7279	3.6818	400.42
3438661	3.7279	3.6818	400.4213
3438673	3.7279	3.6818	400.4204
3438712	3.728	3.6818	400.4212
3438752	3.7279	3.6818	400.4205
3438792	3.7279	3.6817	400.4205
3438861	3.7279	3.6817	400.4203
3438873	3.7279	3.6818	400.4203
