timestamp	meters	rotations	angle	clock_period
3434497	0	0	0	0
3434597	0	0	0	0
3434697	0	0	0	0
3434797	0	0	0	0
3434897	0	0	0	0
3434997	0	0	0	0
3435097	0	0	0	0
3435197	0	0	0	0
3435297	0	0	0	0
3435397	0	0	0	0
3435497	0	0	0	0
3435597	0	0	0	0
3435697	0	0	0	0
3435797	0	0	0	0
3435897	0	0	0	0
3435997	0	0	0	0
3436097	0	0	0	0
3436197	0	0	0	0
3436297	0	0	0	0
3436397	0	0	0	0
3436497	0	0	0	0
3436697	0	0	0	0
3436897	0	0	0	0
3436997	0	0	0	0
3437097	0	0	0	0
3437197	0	0	0	0
3437297	0	0	0	0
3437397	0	0	0	0
3437497	0	0	0	0
3437597	0	0	0	0
3437697	0	0	0	0
3437797	0	0	0	0
3437897	0	0	0	0
3437997	0	0	0	0
3438097	0	0	0	0
3438197	0	0	0	0
3438297	0	0	0	0
3438397	0	0	0	0
3438497	0	0	0	0
3438597	0	0	0	0
3438697	0	0	0	0
3438797	0	0	0	0
3438897	0	0	0	0
3438997	0	0	0	0
3439097	0	0	0	0
3439197	0	0	0	0
3439297	0	0	0	0
3439397	0	0	0	0
3439497	0	0	0	0
3439597	0	0	0	0
3439697	0	0	0	0
3439797	0	0	0	0
3439897	0	0	0	0
3439997	0	0	0	0
3440097	0	0	0	0
3440197	0	0	0	0
3440297	0	0	0	0
3440397	0	0	0	0
3440497	0	0	0	0
3440597	0	0	0	0
3440697	0	19	0	0
3440797	0	0	0	0
3440897	0	19	0	0
3440997	0	0	0	0
3441097	0	0	0	0
3441197	0	0	0	0
3441297	0	0	0	0
3441397	0	0	0	0
3441497	0	0	0	0
3441597	0	0	0	0
3441697	0	0	0	0
3441797	0	0	0	0
3441897	0	0	0	0
3441997	0	0	0	0
3442097	0	0	0	0
3442197	0	0	0	0
3442297	0	0	0	0
3442397	0	0	0	0
3442497	0	0	0	0
3442597	0	0	0	0
3442697	0	0	0	0
3442797	0	0	0	0
3442897	0	0	0	0
3442997	0	0	0	0
3443097	0	0	0	0
3443197	0	0	0	0
3443297	0	0	0	0
3443397	0	0	0	0
3443497	0	0	0	0
3443597	0	0	0	0
3443697	0	0	0	0
3443797	0	0	0	0
3443897	0	0	0	0
3443997	0	0	0	0
3444097	0	0	0	0
3444197	0	0	0	0
3444297	0	0	0	0
3444397	0	0	0	0
3444497	0	0	0	0
3444597	0	0	0	0
3444697	0	0	0	0
3444797	0	0	0	0
3444897	0	0	0	0
3444997	0	0	0	0
3445097	0	0	0	0
3445197	0	0	0	0
3445297	0	0	0	0
3445397	0	0	0	0
3445497	0	0	0	0
3445597	0	0	0	0
3445697	0	0	0	0
3445797	0	0	0	0
3445897	0	0	0	0
3445997	0	0	0	0
3446097	0	0	0	0
3446197	0	0	0	0
3446297	0	0	0	0
3446397	0	0	0	0
3446497	0	0	0	0
3446597	0	0	0	0
3446697	0	0	0	0
3446797	0	0	0	0
3446897	0	0	0	0
3446997	0	0	0	0
3447097	0	0	0	0
3447197	0	0	0	0
3447297	0	0	0	0
3447397	0	0	0	0
3447497	0	0	0	0
3447597	0	0	0	0
3447697	0	0	0	0
3447797	0	0	0	0
3447897	0	0	0	0
3447997	0	0	0	0
3448097	0	0	0	0
3448197	0	0	0	0
3448297	0	0	0	0
3448397	0	0	0	0
3448497	0	0	0	0
3448597	0	0	0	0
3448697	0	0	0	0
3448797	0	0	0	0
3448897	0	0	0	0
3448997	0	0	0	0
3449097	0	0	0	0
3449197	0	0	0	0
3449297	0	0	0	0
3449397	0	0	0	0
3449497	0	0	0	0
3449597	0	0	0	0
3449697	0	0	0	0
3449797	0	0	0	0
3449897	0	0	0	0
3449997	0	0	0	0
3450198	0	0	0	0
3450297	0	0	0	0
3450397	0	0	0	0
3450497	0	0	0	0
3450597	0	0	0	0
3450797	0	0	0	0
3450897	0	0	0	0
3450997	0	0	0	0
3451097	0	0	0	0
3451197	0	0	0	0
3451297	0	0	0	0
3451397	0	0	0	0
3451497	0	0	0	0
3451597	0	0	0	0
3451697	0	0	0	0
3451797	0	0	0	0
3451897	0	0	0	0
3451998	0	0	0	0
3452097	0	0	0	0
3452197	0	0	0	0
3452297	0	0	0	0
3452397	0	0	0	0
3452497	0	0	0	0
3452597	0	0	0	0
3452698	0	0	0	0
3452797	0	0	0	0
3452897	0	0	0	0
3452997	0	0	0	0
3453097	0	0	0	0
3453197	0	0	0	0
3453297	0	0	0	0
3453397	0	0	0	0
3453497	0	0	0	0
3453597	0	0	0	0
3453697	0	0	0	0
3453797	0	0	0	0
3453897	0	0	0	0
3453997	0	0	0	0
3454097	0	0	0	0
3454197	0	0	0	0
3454297	0	0	0	0
3454397	0	0	0	0
3454497	0	0	0	0
3454598	0	0	0	0
3454697	0	0	0	0
3454797	0	0	0	0
3454897	0	0	0	0
3454998	0	0	0	0
3455097	0	0	0	0
3455197	0	0	0	0
3455297	0	0	0	0
3455398	0	0	0	0
3455497	0	0	0	0
3455597	0	0	0	0
3455697	0	0	0	0
3455797	0	0	0	0
3455897	0	0	0	0
3455997	0	0	0	0
3456098	0	0	0	0
3456197	0	0	0	0
3456297	0	0	0	0
3456397	0	0	0	0
3456498	0	0	0	0
3456597	0	0	0	0
3456697	0	0	0	0
3456797	0	0	0	0
3456898	0	0	0	0
3456997	0	0	0	0
3457097	0	0	0	0
3457197	0	0	0	0
3457297	0	0	0	0
3457397	0	0	0	0
3457497	0	0	0	0
3457598	0	0	0	0
3457697	0	0	0	0
3457797	0	0	0	0
3457897	0	0	0	0
3457998	0	0	0	0
3458097	0	0	0	0
