timestamp	value
3434491	40
3434591	40
3434691	40
3434791	40
3434891	40
3434991	40
3435091	40
3435191	40
3435291	40
3435391	40
3435491	40
3435591	39
3435691	40
3435791	40
3435891	39
3435991	40
3436091	39
3436191	40
3436291	37
3436391	39
3436491	40
3436591	40
3436691	40
3436791	40
3436891	40
3436991	40
3437091	40
3437191	40
3437291	40
3437391	39
3437491	40
3437591	39
3437691	40
3437791	38
3437891	40
3437991	40
3438091	40
3438191	40
3438291	40
3438491	37
3438591	40
3438691	40
3438791	40
3438891	40
3438991	40
3439091	38
3439191	40
3439291	39
3439391	40
3439491	37
3439591	40
3439691	40
3439791	40
3439891	40
3439991	40
3440091	40
3440191	40
3440391	40
3440591	39
3440691	39
3440791	38
3440891	40
3440991	38
3441091	40
3441191	40
3441291	40
3441391	39
3441491	38
3441591	40
3441691	40
3441791	40
3441891	40
3441991	40
3442092	40
3442191	40
3442291	38
3442391	40
3442491	40
3442591	40
3442691	40
3442791	40
3442891	40
3442991	40
3443091	39
3443191	40
3443291	40
3443391	40
3443491	40
3443591	39
3443691	40
3443791	39
3443891	40
3443991	39
3444091	40
3444191	38
3444291	40
3444391	40
3444491	40
3444591	40
3444691	40
3444791	40
3444891	40
3444991	40
3445091	40
3445191	40
3445291	39
3445391	40
3445491	39
3445591	40
3445691	38
3445791	40
3445891	37
3445991	40
3446091	40
3446191	40
3446291	40
3446391	40
3446491	40
3446591	40
3446691	40
3446791	39
3446891	40
3446991	38
3447091	40
3447191	36
3447291	40
3447391	37
3447491	40
3447591	40
3447691	40
3447791	40
3447891	39
3447991	40
3448091	40
3448191	40
3448291	40
3448391	40
3448491	39
3448591	40
3448691	39
3448791	39
3448891	38
3448991	40
3449091	40
3449191	40
3449291	39
3449391	40
3449491	40
3449591	40
3449691	39
3449791	40
3449891	40
3449991	40
3450091	40
3450191	39
3450291	40
3450391	40
3450491	40
3450591	40
3450691	40
3450791	40
3450891	40
3450991	40
3451091	40
3451191	40
3451291	40
3451391	40
3451491	39
3451591	39
3451691	39
3451791	40
3451891	39
3451991	40
3452091	38
3452191	40
3452291	40
3452391	39
3452491	40
3452591	40
3452692	40
3452791	40
3452891	40
3452991	40
3453091	40
3453191	39
3453291	38
3453391	39
3453491	40
3453591	38
3453691	40
3453791	37
3453891	40
3453991	38
3454091	40
3454192	39
3454291	40
3454391	40
3454491	40
3454591	40
3454691	40
3454791	40
3454891	39
3454991	40
3455091	40
3455191	40
3455293	37
3455391	40
3455491	40
3455591	40
3455691	40
3455791	40
3455891	40
3455991	40
3456092	40
3456191	40
3456291	40
3456391	39
3456492	40
3456691	40
3456792	38
3456891	38
3456991	40
3457091	40
3457192	40
3457291	40
3457391	40
3457491	40
3457592	40
3457691	40
3457791	40
3457891	40
3457992	40
3458091	39
3458191	40
3458291	38
3458391	40
3458491	40
3458591	40
3458692	40
3458791	40
3458891	40
3458991	40
3459092	40
3459191	40
3459291	40
3459391	40
3459492	40
3459591	39
3459691	40
3459791	39
3459892	40
3459991	38
3460091	40
3460191	40
3460291	40
3460393	40
3460491	40
3460592	40
3460691	40
3460791	40
3460891	40
3460992	40
3461091	39
3461191	39
3461291	39
3461392	40
3461491	38
3461591	40
3461691	37
3461792	40
3461891	39
3461991	40
3462092	38
3462191	40
3462291	40
3462391	40
3462492	40
3462591	40
3462691	40
3462791	39
3462892	40
3462991	40
3463091	40
3463191	40
3463292	40
3463391	40
3463491	40
3463592	40
3463691	40
3463791	40
3463891	40
3463992	40
3464091	39
