timestamp	value
3434415	83
3434444	84
3434474	84
3434504	83
3434534	83
3434564	83
3434594	83
3434624	84
3434654	84
3434685	82
3434714	83
3434744	82
3434774	84
3434804	83
3434835	83
3434865	85
3434894	84
3434951	84
3434955	82
3434984	83
3435015	84
3435044	84
3435075	83
3435104	82
3435135	83
3435165	83
3435194	84
3435225	83
3435255	82
3435285	83
3435315	83
3435344	83
3435375	83
3435405	83
3435435	83
3435465	83
3435495	84
3435525	83
3435555	84
3435585	84
3435615	83
3435645	83
3435675	83
3435704	84
3435735	83
3435764	83
3435794	83
3435825	84
3435855	83
3435885	82
3435915	83
3435945	83
3435975	82
3436004	83
3436035	82
3436065	83
3436094	84
3436125	83
3436155	83
3436185	83
3436215	84
3436245	83
3436275	82
3436304	84
3436335	83
3436365	83
3436394	84
3436425	83
3436455	83
3436485	83
3436515	83
3436545	83
3436575	83
3436605	84
3436635	83
3436665	83
3436694	83
3436725	83
3436755	84
3436785	83
3436815	82
3436845	83
3436875	83
3436905	83
3436935	83
3436965	82
3436995	82
3437025	84
3437055	83
3437085	83
3437115	83
3437145	83
3437175	84
3437205	82
3437235	84
3437265	84
3437295	84
3437325	83
3437355	83
3437385	84
3437415	83
3437445	84
3437475	84
3437505	83
3437535	83
3437565	83
3437595	82
3437625	83
3437655	82
3437685	83
3437715	84
3437745	84
3437775	84
3437805	82
3437835	82
3437865	83
3437895	83
3437925	83
3437955	83
3437985	84
3438015	83
3438045	83
3438075	82
3438105	83
3438135	81
3438165	83
3438195	83
3438225	84
3438255	84
3438285	83
3438315	84
3438345	83
3438375	84
3438405	83
3438435	84
3438465	83
3438495	83
3438525	83
3438555	84
3438585	84
3438615	84
3438645	83
3438675	83
3438705	83
3438735	83
3438765	83
3438795	83
3438825	85
3438855	83
3438885	83
3438915	84
3438945	83
3438975	83
3439005	84
3439035	84
3439065	83
3439095	83
3439125	83
3439155	84
3439185	83
3439215	83
3439245	83
3439275	83
3439305	83
3439335	83
3439365	83
3439395	84
3439425	83
3439455	83
3439485	85
3439515	83
3439545	84
3439575	83
3439605	83
3439635	83
3439665	83
3439695	84
3439725	84
3439755	84
3439785	83
3439815	83
3439845	82
3439875	83
3439905	84
3439935	83
3439965	82
3439995	83
3440025	83
3440055	82
3440085	83
3440115	84
3440145	84
3440175	83
3440205	84
3440235	83
3440265	84
3440295	83
3440325	84
3440355	84
3440385	83
3440415	83
3440445	83
3440475	82
3440505	83
3440535	83
3440565	83
3440595	83
3440625	82
3440655	83
3440685	83
3440715	83
3440745	83
3440775	84
3440805	83
3440835	84
3440865	83
3440895	83
3440925	83
3440955	83
3440985	84
3441015	84
3441045	83
3441075	83
3441105	83
3441135	83
3441165	83
3441195	83
3441225	83
3441255	83
3441285	83
3441315	83
3441345	83
3441375	83
3441405	83
3441435	83
3441465	83
3441495	83
3441525	84
3441555	83
3441585	84
3441615	83
3441645	83
3441675	83
3441705	84
3441735	83
3441765	83
3441795	83
3441825	83
3441855	83
3441885	83
3441915	83
3441945	83
3441975	83
3442005	83
3442035	83
3442065	83
3442095	84
3442125	82
3442155	83
3442185	83
3442215	84
3442245	82
3442275	84
3442305	83
3442335	83
3442365	83
3442395	83
3442425	84
3442455	82
3442485	83
3442515	84
3442545	83
3442575	83
3442605	83
3442635	82
3442665	83
3442695	83
3442725	84
3442755	83
3442785	83
3442815	83
3442845	82
3442875	84
3442905	83
3442935	83
3442965	83
3442995	83
3443025	84
3443055	83
3443085	83
3443115	84
3443145	83
3443175	83
3443205	84
3443235	84
3443265	83
3443295	84
3443325	84
3443355	83
3443385	82
3443415	83
3443445	84
3443475	83
3443505	83
3443535	83
3443565	83
3443595	84
3443625	83
3443655	84
3443685	85
3443715	83
3443745	83
3443775	85
3443805	83
3443835	83
3443865	83
3443895	84
3443925	83
3443955	83
3443985	83
3444015	83
3444045	83
3444075	83
3444105	84
3444135	82
3444165	84
3444195	83
3444225	83
3444255	83
3444285	84
3444315	84
3444345	83
3444375	84
3444405	84
3444435	83
3444465	84
3444495	82
3444525	83
3444555	83
3444585	84
3444615	83
3444645	83
3444675	83
3444705	83
3444735	82
3444765	83
3444795	83
3444825	83
3444855	82
3444885	84
3444915	83
3444945	83
3444975	84
3445005	84
3445035	84
3445065	83
3445095	83
3445128	83
3445155	82
3445185	83
3445215	83
3445245	84
3445275	83
3445305	84
3445335	83
3445365	84
3445395	82
3445425	83
3445455	84
3445485	84
3445515	84
3445545	83
3445575	83
3445605	84
3445635	83
3445665	83
3445695	84
3445725	83
3445755	83
3445785	83
3445815	82
3445845	84
3445875	83
3445905	83
3445935	83
3445965	83
3445995	82
3446025	83
3446055	82
3446085	83
3446115	83
3446145	84
3446175	83
3446205	83
3446235	84
3446265	83
3446295	83
3446325	83
3446355	83
3446385	83
3446415	83
3446445	83
3446475	82
3446505	82
3446535	82
3446565	83
3446595	83
3446625	83
3446655	83
3446685	83
3446715	83
3446745	84
3446775	83
3446805	83
3446835	83
3446865	83
3446895	83
3446925	83
3446955	83
3446985	84
3447015	84
3447045	83
3447075	83
3447105	84
3447135	83
3447165	83
3447195	84
3447225	83
3447255	83
3447285	84
3447315	84
3447345	83
3447375	83
3447405	83
3447435	83
3447465	83
3447495	83
3447525	83
3447555	84
3447585	84
3447615	84
3447645	83
3447675	83
3447705	83
