timestamp	max	min	total
307451	3.7275	3.6807	400.3556
307520	3.7275	3.6805	400.3539
307532	3.7275	3.6806	400.3548
307571	3.7276	3.6806	400.3541
307611	3.7276	3.6806	400.3547
307651	3.7275	3.6806	400.355
307721	3.7277	3.6806	400.354
307733	3.7277	3.6806	400.3544
307772	3.7276	3.6806	400.3545
307812	3.7275	3.6806	400.3556
307852	3.7275	3.6805	400.3545
307921	3.7276	3.6806	400.355
307933	3.7276	3.6806	400.3543
307986	3.7275	3.6806	400.3544
308012	3.7275	3.6805	400.3538
308052	3.7276	3.6808	400.3541
308121	3.7276	3.6807	400.3544
308133	3.7276	3.6806	400.3534
308172	3.7276	3.6807	400.3536
308212	3.7275	3.6806	400.3539
308252	3.7276	3.6807	400.3536
308322	3.7275	3.6806	400.3534
308334	3.7275	3.6806	400.3534
308373	3.7276	3.6806	400.3548
308413	3.7276	3.6806	400.3562
308453	3.7276	3.6807	400.3547
308522	3.7275	3.6806	400.3544
308534	3.7275	3.6806	400.3544
308573	3.7275	3.6805	400.3549
308613	3.7276	3.6806	400.3548
308653	3.7276	3.6806	400.3539
308722	3.7276	3.6806	400.3566
308734	3.7276	3.6806	400.3547
308773	3.7276	3.6807	400.3536
308813	3.7276	3.6806	400.3562
308854	3.7276	3.6806	400.354
308923	3.7275	3.6806	400.3542
308935	3.7275	3.6806	400.3542
308974	3.7275	3.6806	400.3537
309014	3.7276	3.6806	400.3543
309054	3.7276	3.6806	400.3543
309123	3.7276	3.6806	400.3551
309135	3.7276	3.6806	400.3554
309174	3.7275	3.6805	400.3549
309214	3.7275	3.6807	400.3554
309254	3.7275	3.6806	400.3545
309323	3.7276	3.6806	400.3549
309335	3.7276	3.6805	400.3542
309374	3.7275	3.6807	400.3544
309414	3.7275	3.6806	400.3563
309455	3.7276	3.6807	400.3549
309527	3.7275	3.6806	400.3537
309536	3.7275	3.6806	400.3541
309575	3.7275	3.6806	400.3543
309615	3.7276	3.6806	400.3545
309655	3.7276	3.6806	400.3544
309724	3.7277	3.6806	400.3547
309736	3.7277	3.6806	400.3552
309775	3.7276	3.6805	400.3538
309815	3.7276	3.6807	400.3541
309855	3.7276	3.6805	400.3552
309924	3.7275	3.6806	400.3534
309936	3.7275	3.6806	400.3548
309975	3.7276	3.6806	400.3542
310015	3.7275	3.6806	400.3549
310055	3.7276	3.6806	400.3552
310125	3.7276	3.6806	400.3536
310137	3.7276	3.6806	400.3542
310176	3.7275	3.6807	400.3557
310216	3.7276	3.6805	400.3538
310256	3.7276	3.6806	400.3549
310325	3.7275	3.6805	400.3533
310337	3.7275	3.6805	400.3544
310376	3.7275	3.6806	400.3535
310416	3.7275	3.6806	400.3541
