timestamp	max	min	total
389949	3.7276	3.6805	400.3539
389989	3.7275	3.6806	400.3536
390058	3.7275	3.6807	400.3548
390070	3.7275	3.6806	400.3545
390109	3.7275	3.6806	400.355
390149	3.7276	3.6806	400.3544
390189	3.7276	3.6806	400.3541
390258	3.7276	3.6806	400.355
390270	3.7276	3.6806	400.3534
390309	3.7275	3.6807	400.3535
390349	3.7275	3.6806	400.3531
390389	3.7276	3.6806	400.3551
390488	3.7275	3.6805	400.3554
390488	3.7275	3.6806	400.3542
390509	3.7276	3.6807	400.3537
390550	3.7275	3.6806	400.3542
390590	3.7275	3.6805	400.3543
390659	3.7275	3.6807	400.3546
390671	3.7275	3.6806	400.3534
390710	3.7275	3.6805	400.3544
390750	3.7276	3.6807	400.3546
390790	3.7275	3.6806	400.354
390859	3.7276	3.6806	400.3543
390871	3.7276	3.6805	400.3545
390910	3.7276	3.6806	400.3541
390950	3.7276	3.6806	400.3539
390994	3.7275	3.6806	400.3548
391059	3.7275	3.6806	400.3538
391071	3.7275	3.6806	400.3538
391111	3.7275	3.6806	400.354
391151	3.7275	3.6807	400.3546
391191	3.7275	3.6806	400.3554
391260	3.7276	3.6806	400.3545
391272	3.7276	3.6806	400.3538
391311	3.7276	3.6806	400.354
391351	3.7275	3.6805	400.3554
391391	3.7276	3.6806	400.3545
391460	3.7275	3.6807	400.3544
391472	3.7275	3.6805	400.3536
391511	3.7276	3.6807	400.3554
391551	3.7275	3.6806	400.354
391591	3.7275	3.6807	400.3541
391660	3.7276	3.6806	400.3555
391672	3.7276	3.6805	400.3552
391712	3.7275	3.6806	400.3535
391752	3.7275	3.6806	400.3543
391792	3.7275	3.6806	400.354
391861	3.7276	3.6805	400.3536
391873	3.7276	3.6805	400.353
391912	3.7276	3.6805	400.3555
391952	3.7275	3.6807	400.3542
391992	3.7275	3.6806	400.3545
392061	3.7276	3.6805	400.3538
392073	3.7276	3.6806	400.3537
392112	3.7276	3.6805	400.3527
392152	3.7276	3.6807	400.3537
392192	3.7276	3.6805	400.3542
392261	3.7275	3.6807	400.3543
392273	3.7275	3.6806	400.3541
392313	3.7275	3.6806	400.3539
392353	3.7275	3.6806	400.3546
392393	3.7276	3.6806	400.354
392462	3.7275	3.6806	400.3545
392474	3.7275	3.6806	400.354
392516	3.7276	3.6805	400.3542
392553	3.7276	3.6806	400.3539
392593	3.7276	3.6806	400.3534
392662	3.7276	3.6806	400.3537
392674	3.7276	3.6806	400.3538
392713	3.7275	3.6805	400.3537
392753	3.7276	3.6806	400.3529
392793	3.7276	3.6805	400.3545
392863	3.7274	3.6806	400.3535
392875	3.7274	3.6806	400.3539
392914	3.7276	3.6806	400.3549
392954	3.7275	3.6806	400.3548
392994	3.7275	3.6805	400.354
393063	3.7276	3.6807	400.3541
393075	3.7276	3.6806	400.3541
393114	3.7275	3.6806	400.3549
393154	3.7276	3.6806	400.3536
393194	3.7276	3.6806	400.3546
393263	3.7276	3.6806	400.3548
393275	3.7276	3.6807	400.3543
393314	3.7276	3.6806	400.3552
393354	3.7275	3.6806	400.3538
393394	3.7276	3.6806	400.3532
393464	3.7276	3.6806	400.3545
393476	3.7276	3.6806	400.3537
393515	3.7276	3.6806	400.3535
393555	3.7276	3.6806	400.3541
393595	3.7277	3.6806	400.3534
393664	3.7275	3.6805	400.3528
393676	3.7275	3.6806	400.3535
393715	3.7275	3.6806	400.3538
393755	3.7275	3.6806	400.3533
